Transcript stable ID	Gene stable ID version	Transcript stable ID version
ENSMPUT00000000325	ENSMPUG00000000323.1	ENSMPUT00000000325.1
ENSMPUT00000000326	ENSMPUG00000000324.1	ENSMPUT00000000326.1
ENSMPUT00000000327	ENSMPUG00000000325.1	ENSMPUT00000000327.1
ENSMPUT00000000328	ENSMPUG00000000326.1	ENSMPUT00000000328.1
ENSMPUT00000000329	ENSMPUG00000000327.1	ENSMPUT00000000329.1
ENSMPUT00000000330	ENSMPUG00000000328.1	ENSMPUT00000000330.1
ENSMPUT00000000331	ENSMPUG00000000329.1	ENSMPUT00000000331.1
ENSMPUT00000000332	ENSMPUG00000000330.1	ENSMPUT00000000332.1
ENSMPUT00000000333	ENSMPUG00000000331.1	ENSMPUT00000000333.1
ENSMPUT00000000334	ENSMPUG00000000332.1	ENSMPUT00000000334.1
ENSMPUT00000000335	ENSMPUG00000000333.1	ENSMPUT00000000335.1
ENSMPUT00000000336	ENSMPUG00000000334.1	ENSMPUT00000000336.1
ENSMPUT00000000337	ENSMPUG00000000335.1	ENSMPUT00000000337.1
ENSMPUT00000000338	ENSMPUG00000000336.1	ENSMPUT00000000338.1
ENSMPUT00000000339	ENSMPUG00000000337.1	ENSMPUT00000000339.1
ENSMPUT00000000340	ENSMPUG00000000338.1	ENSMPUT00000000340.1
ENSMPUT00000000341	ENSMPUG00000000339.1	ENSMPUT00000000341.1
ENSMPUT00000000342	ENSMPUG00000000340.1	ENSMPUT00000000342.1
ENSMPUT00000000343	ENSMPUG00000000341.1	ENSMPUT00000000343.1
ENSMPUT00000000344	ENSMPUG00000000342.1	ENSMPUT00000000344.1
ENSMPUT00000000345	ENSMPUG00000000343.1	ENSMPUT00000000345.1
ENSMPUT00000000346	ENSMPUG00000000344.1	ENSMPUT00000000346.1
ENSMPUT00000000347	ENSMPUG00000000345.1	ENSMPUT00000000347.1
ENSMPUT00000000348	ENSMPUG00000000346.1	ENSMPUT00000000348.1
